Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-SQS2","LambdasStack/contentQueue/SearchContentQueue/Resource","Compliant","N/A","Error","The SQS Queue does not have server-side encryption enabled."
"AwsSolutions-SQS3","LambdasStack/contentQueue/SearchContentQueue/Resource","Suppressed","dead-letter queue not configured as this is not meant to be used for production.","Error","The SQS queue is not used as a dead-letter queue (DLQ) and does not have a DLQ enabled."
"AwsSolutions-SQS4","LambdasStack/contentQueue/SearchContentQueue/Resource","Suppressed","Queue only usable within the AWS Account.","Error","The SQS queue does not require requests to use SSL."
"AwsSolutions-L1","LambdasStack/deltas/Lambda/Resource","Suppressed","Code was tested with python 3.11","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-L1","LambdasStack/deltas/Lambda/Resource","Suppressed","Code was tested with python 3.11","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-L1","LambdasStack/delta2Q/Lambda/Resource","Suppressed","Code was tested with python 3.11","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-L1","LambdasStack/delta2Q/Lambda/Resource","Suppressed","Code was tested with python 3.11","Error","The non-container Lambda function is not configured to use the latest runtime version."
